,precision,recall,f1-score,support
Positive,0.686,0.570,0.622,8658.000
Neutral,0.514,0.101,0.169,8452.000
Negative,0.843,0.976,0.905,52424.000
accuracy,0.819,0.819,0.819,0.819
macro avg,0.681,0.549,0.565,69534.000
weighted avg,0.784,0.819,0.780,69534.000
