,precision,recall,f1-score,support
Positive,0.857,0.151,0.257,8540.000
Neutral,0.367,0.006,0.012,8606.000
Negative,0.770,0.998,0.869,52388.000
accuracy,0.771,0.771,0.771,0.771
macro avg,0.665,0.385,0.380,69534.000
weighted avg,0.731,0.771,0.688,69534.000
