,precision,recall,f1-score,support
Positive,0.697,0.608,0.649,8508.000
Neutral,0.521,0.189,0.277,8531.000
Negative,0.863,0.971,0.914,52495.000
accuracy,0.830,0.830,0.830,0.830
macro avg,0.694,0.589,0.613,69534.000
weighted avg,0.801,0.830,0.803,69534.000
