,precision,recall,f1-score,support
Positive,0.710,0.601,0.651,8569.000
Neutral,0.531,0.173,0.261,8551.000
Negative,0.858,0.974,0.912,52414.000
accuracy,0.830,0.830,0.830,0.830
macro avg,0.700,0.583,0.608,69534.000
weighted avg,0.800,0.830,0.800,69534.000
