,precision,recall,f1-score,support
Positive,0.694,0.585,0.635,8540.000
Neutral,0.506,0.151,0.233,8524.000
Negative,0.854,0.973,0.909,52470.000
accuracy,0.824,0.824,0.824,0.824
macro avg,0.685,0.570,0.592,69534.000
weighted avg,0.792,0.824,0.793,69534.000
