,precision,recall,f1-score,support
Positive,0.633,0.312,0.418,8533.000
Neutral,1.000,0.000,0.000,8438.000
Negative,0.794,0.987,0.880,52563.000
accuracy,0.784,0.784,0.784,0.784
macro avg,0.809,0.433,0.433,69534.000
weighted avg,0.799,0.784,0.716,69534.000
