,precision,recall,f1-score,support
Positive,0.690,0.578,0.629,8637.000
Neutral,0.494,0.164,0.246,8526.000
Negative,0.855,0.970,0.909,52371.000
accuracy,0.823,0.823,0.823,0.823
macro avg,0.679,0.571,0.595,69534.000
weighted avg,0.790,0.823,0.793,69534.000
