,precision,recall,f1-score,support
Positive,0.864,0.147,0.251,8662.000
Neutral,0.362,0.007,0.014,8417.000
Negative,0.771,0.998,0.870,52455.000
accuracy,0.772,0.772,0.772,0.772
macro avg,0.666,0.384,0.378,69534.000
weighted avg,0.733,0.772,0.689,69534.000
