,precision,recall,f1-score,support
Positive,0.000,0.000,0.000,8609.000
Neutral,0.000,0.000,0.000,8362.000
Negative,0.756,1.000,0.861,52563.000
accuracy,0.756,0.756,0.756,0.756
macro avg,0.252,0.333,0.287,69534.000
weighted avg,0.571,0.756,0.651,69534.000
