,precision,recall,f1-score,support
Positive,0.704,0.599,0.647,8439.000
Neutral,0.532,0.177,0.266,8555.000
Negative,0.860,0.974,0.913,52540.000
accuracy,0.830,0.830,0.830,0.830
macro avg,0.698,0.583,0.609,69534.000
weighted avg,0.800,0.830,0.801,69534.000
