,precision,recall,f1-score,support
Positive,0.518,0.615,0.562,8470.000
Neutral,0.330,0.348,0.339,8542.000
Negative,0.890,0.855,0.872,52522.000
accuracy,0.763,0.763,0.763,0.763
macro avg,0.579,0.606,0.591,69534.000
weighted avg,0.776,0.763,0.769,69534.000
