,precision,recall,f1-score,support
Positive,0.622,0.309,0.413,8492.000
Neutral,0.192,0.824,0.311,8519.000
Negative,0.944,0.515,0.667,52523.000
accuracy,0.528,0.528,0.528,0.528
macro avg,0.586,0.549,0.463,69534.000
weighted avg,0.812,0.528,0.592,69534.000
