,precision,recall,f1-score,support
Positive,0.000,0.000,0.000,8486.000
Neutral,0.000,0.000,0.000,8364.000
Negative,0.758,1.000,0.862,52684.000
accuracy,0.758,0.758,0.758,0.758
macro avg,0.253,0.333,0.287,69534.000
weighted avg,0.574,0.758,0.653,69534.000
