,precision,recall,f1-score,support
Positive,0.627,0.301,0.407,8566.000
Neutral,0.250,0.000,0.000,8520.000
Negative,0.792,0.987,0.879,52448.000
accuracy,0.782,0.782,0.782,0.782
macro avg,0.556,0.429,0.429,69534.000
weighted avg,0.705,0.782,0.713,69534.000
