,precision,recall,f1-score,support
Positive,0.686,0.570,0.623,8662.000
Neutral,0.517,0.147,0.229,8417.000
Negative,0.852,0.973,0.908,52455.000
accuracy,0.823,0.823,0.823,0.823
macro avg,0.685,0.564,0.587,69534.000
weighted avg,0.790,0.823,0.790,69534.000
