,precision,recall,f1-score,support
Positive,0.691,0.586,0.634,8486.000
Neutral,0.518,0.149,0.232,8364.000
Negative,0.856,0.973,0.911,52684.000
accuracy,0.827,0.827,0.827,0.827
macro avg,0.688,0.569,0.592,69534.000
weighted avg,0.795,0.827,0.795,69534.000
