,precision,recall,f1-score,support
Positive,0.441,0.631,0.519,8603.000
Neutral,0.253,0.538,0.344,8434.000
Negative,0.932,0.697,0.797,52497.000
accuracy,0.669,0.669,0.669,0.669
macro avg,0.542,0.622,0.554,69534.000
weighted avg,0.789,0.669,0.708,69534.000
